admin_activity_log	id	uuid	NO	uuid_generate_v4()
admin_activity_log	admin_id	uuid	NO	
admin_activity_log	action	character varying	NO	
admin_activity_log	target_type	character varying	NO	
admin_activity_log	target_id	uuid	NO	
admin_activity_log	details	jsonb	YES	'{}'::jsonb
admin_activity_log	created_at	timestamp with time zone	YES	now()
agent_keys	id	uuid	NO	uuid_generate_v4()
agent_keys	user_id	uuid	NO	
agent_keys	name	text	NO	'default'::text
agent_keys	key_hash	text	NO	
agent_keys	key_prefix	text	NO	
agent_keys	last_used_at	timestamp with time zone	YES	
agent_keys	revoked_at	timestamp with time zone	YES	
agent_keys	created_at	timestamp with time zone	NO	now()
ai_interactions	id	uuid	NO	uuid_generate_v4()
ai_interactions	user_id	uuid	NO	
ai_interactions	project_id	uuid	NO	
ai_interactions	interaction_type	character varying	NO	
ai_interactions	comment_id	uuid	YES	
ai_interactions	tokens_used	integer	YES	0
ai_interactions	created_at	timestamp without time zone	YES	now()
ai_market_assessments	id	uuid	NO	uuid_generate_v4()
ai_market_assessments	project_id	uuid	NO	
ai_market_assessments	assessment_score	integer	YES	
ai_market_assessments	assessment_text	text	YES	
ai_market_assessments	strengths	ARRAY	YES	
ai_market_assessments	weaknesses	ARRAY	YES	
ai_market_assessments	recommendations	ARRAY	YES	
ai_market_assessments	market_size	character varying	YES	
ai_market_assessments	competition_level	character varying	YES	
ai_market_assessments	created_at	timestamp without time zone	YES	now()
ai_market_assessments	updated_at	timestamp without time zone	YES	now()
ai_question_pack_purchases	id	uuid	NO	uuid_generate_v4()
ai_question_pack_purchases	user_id	uuid	NO	
ai_question_pack_purchases	tx_hash	text	NO	
ai_question_pack_purchases	amount_usd	numeric	NO	1.00
ai_question_pack_purchases	questions_granted	integer	NO	5
ai_question_pack_purchases	status	character varying	NO	'confirmed'::character varying
ai_question_pack_purchases	created_at	timestamp with time zone	NO	now()
api_tokens	id	uuid	NO	uuid_generate_v4()
api_tokens	user_id	uuid	NO	
api_tokens	name	text	NO	
api_tokens	token_hash	text	NO	
api_tokens	scopes	ARRAY	NO	'{}'::text[]
api_tokens	last_used_at	timestamp with time zone	YES	
api_tokens	expires_at	timestamp with time zone	YES	
api_tokens	revoked_at	timestamp with time zone	YES	
api_tokens	created_at	timestamp with time zone	NO	now()
audit_logs	id	uuid	NO	uuid_generate_v4()
audit_logs	actor_user_id	uuid	YES	
audit_logs	token_id	uuid	YES	
audit_logs	action	text	NO	
audit_logs	resource_type	text	YES	
audit_logs	resource_id	text	YES	
audit_logs	metadata	jsonb	YES	'{}'::jsonb
audit_logs	ip	text	YES	
audit_logs	user_agent	text	YES	
audit_logs	created_at	timestamp with time zone	NO	now()
comment_likes	id	uuid	NO	uuid_generate_v4()
comment_likes	comment_id	uuid	NO	
comment_likes	user_id	uuid	NO	
comment_likes	created_at	timestamp with time zone	YES	now()
comments	id	uuid	NO	uuid_generate_v4()
comments	project_id	uuid	NO	
comments	user_id	uuid	NO	
comments	content	text	NO	
comments	parent_comment_id	uuid	YES	
comments	likes	integer	YES	0
comments	created_at	timestamp with time zone	YES	now()
comments	updated_at	timestamp with time zone	YES	now()
comments	is_anonymous	boolean	YES	false
comments	tips_amount	numeric	YES	0
comments	is_ai_generated	boolean	YES	false
comments	ai_model	character varying	YES	
comments	ai_tokens_used	integer	YES	0
dao_requests	id	uuid	NO	gen_random_uuid()
dao_requests	project_id	uuid	NO	
dao_requests	requester_id	uuid	NO	
dao_requests	tx_signature	text	NO	
dao_requests	from_wallet	text	YES	
dao_requests	to_wallet	text	YES	
dao_requests	amount_sol	numeric	NO	0
dao_requests	amount_usd	numeric	NO	0
dao_requests	required_usd	numeric	NO	3
dao_requests	status	text	NO	'pending'::text
dao_requests	note	text	YES	
dao_requests	reviewed_by	uuid	YES	
dao_requests	reviewed_at	timestamp with time zone	YES	
dao_requests	created_at	timestamp with time zone	NO	now()
dao_requests	updated_at	timestamp with time zone	NO	now()
feed_followers	id	uuid	NO	uuid_generate_v4()
feed_followers	feed_id	uuid	NO	
feed_followers	user_id	uuid	NO	
feed_followers	created_at	timestamp with time zone	YES	now()
feed_items	id	uuid	NO	uuid_generate_v4()
feed_items	feed_id	uuid	NO	
feed_items	project_id	uuid	NO	
feed_items	added_by	uuid	NO	
feed_items	note	text	YES	
feed_items	created_at	timestamp with time zone	YES	now()
feeds	id	uuid	NO	uuid_generate_v4()
feeds	creator_id	uuid	NO	
feeds	name	character varying	NO	
feeds	description	text	YES	
feeds	cover_image	text	YES	
feeds	is_public	boolean	YES	true
feeds	is_featured	boolean	YES	false
feeds	feed_type	character varying	YES	'custom'::character varying
feeds	items_count	integer	YES	0
feeds	followers_count	integer	YES	0
feeds	created_at	timestamp with time zone	YES	now()
feeds	updated_at	timestamp with time zone	YES	now()
feeds	slug	character varying	NO	
feeds	visibility	character varying	YES	'public'::character varying
follows	id	uuid	NO	gen_random_uuid()
follows	follower_id	uuid	NO	
follows	following_id	uuid	NO	
follows	created_at	timestamp with time zone	YES	now()
hackathon_announcements	id	uuid	NO	uuid_generate_v4()
hackathon_announcements	hackathon_id	uuid	YES	
hackathon_announcements	content	text	NO	
hackathon_announcements	type	character varying	YES	'info'::character varying
hackathon_announcements	published_at	timestamp with time zone	YES	now()
hackathon_announcements	effect	character varying	YES	
hackathon_announcements	widget	jsonb	YES	
hackathon_announcements	created_by	uuid	YES	
hackathon_feedback	id	uuid	NO	uuid_generate_v4()
hackathon_feedback	hackathon_id	uuid	NO	
hackathon_feedback	from_team_id	uuid	NO	
hackathon_feedback	from_user_id	uuid	NO	
hackathon_feedback	to_idea_id	uuid	NO	
hackathon_feedback	comment_id	uuid	YES	
hackathon_feedback	is_valuable	boolean	YES	
hackathon_feedback	created_at	timestamp with time zone	YES	now()
hackathon_ideas	id	uuid	NO	uuid_generate_v4()
hackathon_ideas	hackathon_id	uuid	NO	
hackathon_ideas	team_id	uuid	NO	
hackathon_ideas	project_id	uuid	NO	
hackathon_ideas	submitted_round	integer	YES	1
hackathon_ideas	quality_score	numeric	YES	
hackathon_ideas	engagement_score	numeric	YES	
hackathon_ideas	vote_score	numeric	YES	
hackathon_ideas	total_score	numeric	YES	
hackathon_ideas	status	character varying	YES	'submitted'::character varying
hackathon_ideas	is_featured	boolean	YES	false
hackathon_ideas	submitted_at	timestamp with time zone	YES	now()
hackathon_ideas	last_edited_at	timestamp with time zone	YES	
hackathon_ideas	can_edit	boolean	YES	true
hackathon_ideas	created_at	timestamp with time zone	YES	now()
hackathon_participants	hackathon_id	uuid	NO	
hackathon_participants	user_id	uuid	NO	
hackathon_participants	status	character varying	YES	'registered'::character varying
hackathon_participants	joined_at	timestamp with time zone	YES	now()
hackathon_participants	details	jsonb	YES	'{}'::jsonb
hackathon_partners	id	uuid	NO	uuid_generate_v4()
hackathon_partners	hackathon_id	uuid	NO	
hackathon_partners	partner_name	character varying	NO	
hackathon_partners	partner_link	text	NO	
hackathon_partners	created_at	timestamp with time zone	YES	now()
hackathon_prizes	id	uuid	NO	uuid_generate_v4()
hackathon_prizes	hackathon_id	uuid	NO	
hackathon_prizes	round_number	integer	NO	
hackathon_prizes	rank	integer	NO	
hackathon_prizes	title	character varying	NO	
hackathon_prizes	prize_amount	character varying	YES	
hackathon_prizes	description	text	YES	
hackathon_prizes	winner_team_id	uuid	YES	
hackathon_prizes	announced_at	timestamp with time zone	YES	
